name	ra	dec	micron_flux_12	micron_flux_25	micron_flux_60	micron_flux_100	psc_id	extend_flag	var_flag	obj_id_flag	micron_flux_12_flag	micron_flux_25_flag	micron_flux_60_flag	micron_flux_100_flag	opt_mag	helio_velocity	helio_velocity_error	source	t_type	class
N 2573A	341.09042	-89.39194	0.100000001490116	0.149623572826385	1.11429464817047	1.61808001995087	3	4	N	D	1	1	3	3		2558	0			GALAXY
	304.52667	-87.81861	0.100000001490116	0.132129564881325	0.937561988830566	1.08392679691315	0	4	N	O	1	1	3	3		29821	38			GALAXY
	212.34792	-87.54139	0.11994992941618	0.237684026360512	1.15080034732819	3.2885160446167	3	4	N	O	1	1	3	3		2304	47			GALAXY
	230.04625	-87.51222	0.16634127497673	0.100000001490116	0.590201139450073	1.08392679691315	0	4	N	B	1	1	3	1		12651	300	53		GALAXY
A1514-8655	228.58833	-86.93167	0.100000001490116	0.100000001490116	0.739605307579041	1.92309188842773	0	4	N	Z	1	1	3	3		13100	120	1743		GALAXY
0622-8636	95.50083	-86.61528	0.636795520782471	0.801678061485291	7.48169422149658	19.1866874694824	3	3	8	O	3	3	3	3		1809	39	-5	1	GALAXY
1321-8617	200.42917	-86.29556	0.100000001490116	0.100000001490116	1.35831344127655	4.76430940628052	0	4	N	O	1	1	3	3		12863	46	-5		GALAXY
0637-8539	99.40083	-85.66028	0.250034540891647	0.236591979861259	2.10377812385559	4.22668647766113	0	0	N	O	1	3	3	3	16	12491	36	-5	20	GALAXY
0134-8526	23.70125	-85.43444	0.258226007223129	0.496592313051224	3.23593640327454	5.55904245376587	3	0	N	Z	1	3	3	3	13.7600002288818	4043	26	39 0	-2	GALAXY
N6438A M	271.54833	-85.4225	0.378442585468292	0.352370858192444	3.04088521003723	7.6383581161499	3	0	3	Z	2	3	3	3	12.5699996948242	2512	29	0		GALAXY
A1056-8519	164.14792	-85.32528	0.250034540891647	0.151356130838394	1.26182734966278	3.32659530639648	3	0	N	O	1	2	3	3		4580	55	-502	3	GALAXY
1723-8516	260.87	-85.275	0.250034540891647	0.17988708615303	1.9054605960846	6.82338666915894	3	0	N	O	1	2	3	3		2409	100	3617	3	GALAXY
0326-8501	51.59167	-85.02694	0.250034540891647	0.158124804496765	1.98609483242035	3.30369591712952	0	0	N	O	1	3	3	3		25037	38	-5		GALAXY
1905-8452	286.49833	-84.88028	0.250034540891647	0.193196833133698	1.58124804496765	3.36511540412903	3	0	N	Z	1	2	3	3		5050	100	31 7	1	GALAXY
0734-8424	113.60417	-84.41278	0.250034540891647	0.314774841070175	2.07969641685486	4.31519079208374	3	0	N	O	1	3	3	3		4697	37	-5		GALAXY
0203-8413	30.78583	-84.2275	0.350751876831055	0.598411619663239	4.00866746902466	9.97699928283691	3	2	9	Z	2	3	3	3	13.7799997329712	3414	35	39 0	6	GALAXY
A1646-8407	251.52917	-84.12972	0.100000001490116	0.100000001490116	1.02093935012817	3.28095316886902	0	4	N	Z	1	1	3	3		49405	120	1743		GALAXY
2218-8404	334.63125	-84.07111	0.250034540891647	0.226464435458183	2.2961483001709	4.14954090118408	3	0	N	O	1	3	3	3		10710	50	-5		GALAXY
I 4333	209.35333	-84.03722	0.100000001490116	0.100000001490116	1.11429464817047	3.20626974105835	3	4	N	D	1	1	3	3		2716	0			GALAXY
I2051	59.58833	-83.97472	0.572796046733856	0.731139123439789	5.43250370025635	14.7231245040894	3	7	0	O	2	3	3	3	13.0200004577637	1675	25	39 0	6	GALAXY
0257-8320	44.38708	-83.34361	0.100000001490116	0.132129564881325	1.79887092113495	3.04088521003723	3	4	N	O	1	1	3	3		4830	36	-5	-2	GALAXY
0541-8245	85.28208	-82.75528	0.250034540891647	0.229614868760109	2.21309494972229	2.64849996566772	0	0	N	O	1	3	3	3		12521	39	-5		GALAXY
1626-8229	246.73958	-82.495	0.250034540891647	0.202768296003342	1.92752480506897	3.35737633705139	0	0	N	Z	1	3	3	3		21315	120	1743		GALAXY
A1012-8222	153.11417	-82.38194	0.274789422750473	0.288403183221817	1.70608234405518	3.49945187568665	0	0	N	O	1	1	3	3		12002	54	-502		GALAXY
1626-8213	246.65125	-82.22944	0.250034540891647	0.215278178453445	2.01836609840393	4.65586090087891	3	0	N	O	1	3	3	3		8713	36	-5		GALAXY
0804-8211	121.20542	-82.19361	0.306196331977844	0.200909271836281	1.83231449127197	2.74789428710937	0	2	N	O	1	3	3	3		4494	35	-5		GALAXY
N7637	350.66	-82.18722	0.286417812108994	0.404575884342194	3.31894469261169	9.72747325897217	3	6	N	O	2	3	3	3		3679	28	-5	6	GALAXY
2145-8145	326.43083	-81.76556	0.443608671426773	0.783429622650146	5.11681842803955	11.5877704620361	3	6	0	Z	2	3	3	3		2500	100	31 7	6	GALAXY
I4545	233.20458	-81.46167	0.285759031772614	0.250034540891647	1.21338880062103	5.12861442565918	3	0	N	D	1	1	3	3		2696	100	3617	1	GALAXY
1637-8120	249.50167	-81.34833	0.250034540891647	0.345939368009567	1.53461694717407	1.68655300140381	3	0	N	Z	1	3	3	3		8820	30	3116		GALAXY
2230-8119	337.74083	-81.32333	0.250034540891647	0.311888933181763	2.97166633605957	6.42687654495239	4	0	N	O	1	3	3	3	14	4266	44	-5	3	GALAXY
	346.60125	-81.23361	0.323593646287918	0.193642199039459	1.0764651298523	1.78237891197205	3	4	N	O	1	1	3	3		8298	36			GALAXY
A2100-8111	315.225	-81.18944	0.250034540891647	0.190985336899757	1.88364899158478	3.1477484703064	0	0	N	O	1	2	3	3		11937	38	-502		GALAXY
0046-8104	11.53708	-81.07333	0.194088578224182	0.290402263402939	2.77971339225769	5.45757865905762	3	0	3	O	2	3	3	3		4169	36	-5		GALAXY
0222-8036	35.71125	-80.60583	0.250034540891647	0.274789422750473	1.22179973125458	1.94536018371582	0	0	N	O	1	1	3	3		13910	120	1743		GALAXY
0106-8034	16.5925	-80.57528	0.263026773929596	0.250034540891647	1.54170036315918	6.19441175460815	3	0	N	O	1	1	3	3	13.4899997711182	5047	21	1725	-2	GALAXY
2254-8018	343.67542	-80.30111	0.250034540891647	0.250034540891647	1.21059799194336	3.3419508934021	3	0	N	O	1	1	3	3		11392	300	1743		GALAXY
2217-8014	334.4625	-80.24944	0.250034540891647	0.250034540891647	1.24738335609436	4.97737121582031	3	0	N	Z	1	1	3	3	13.0900001525879	2476	28	39 0	6	GALAXY
N3149	151.08708	-80.1775	1.02093935012817	0.200447201728821	1.94536018371582	6.85488176345825	3	0	N	O	1	3	3	3		2023	100	3617	3	GALAXY
0225-8008	36.365	-80.14722	0.11994992941618	0.100000001490116	1.25602984428406	3.61409831047058	3	4	N	O	1	1	3	3		4421	53	-5	5	GALAXY
0203-7954	30.77417	-79.91	0.230674743652344	0.140928879380226	1.27350318431854	4.13999652862549	3	4	N	Z	1	1	3	3	13.8999996185303	4576	51	-5	6	GALAXY
1515-7940	228.8225	-79.6725	0.250034540891647	0.272270143032074	1.98609483242035	3.81065797805786	0	0	N	O	1	3	3	3		12219	36	-5		GALAXY
A1850-7937	282.58042	-79.63111	0.250034540891647	0.250034540891647	1.26765203475952	2.85759043693542	3	0	N	O	1	1	3	3		8610	41	-502	1	GALAXY
0630-7934	97.54292	-79.57389	0.250034540891647	0.250034540891647	2.00447225570679	2.40990519523621	0	0	N	O	1	1	3	3		46891	126	-5		GALAXY
1628-7932	247.08083	-79.54611	0.100000001490116	0.114287823438644	1.22743916511536	5.87489414215088	0	4	N	O	1	1	3	3		5287	36	-5		GALAXY
0039-7930	9.80875	-79.51417	0.250034540891647	0.327340692281723	1.44543969631195	2.93764996528625	4	0	N	Z	1	3	3	3	15.3000001907349	9845	35	1219		GALAXY
0019-7926	4.9675	-79.44611	0.360578626394272	1.26765203475952	3.15500426292419	2.9444215297699	0	0	2	O	3	3	3	3		21697	38	43		GALAXY
0547-7908	86.86875	-79.13778	0.250034540891647	0.256448417901993	2.38781142234802	3.92644929885864	0	2	N	O	1	3	3	3		9215	36	-5		GALAXY
A1107-7852	166.75458	-78.8775	0.460256546735764	0.250034540891647	3.60578680038452	4.78630018234253	0	0	N	O	1	1	3	3		12191	52	-502		GALAXY
0158-7838	29.73167	-78.63944	0.250034540891647	0.250034540891647	1.2705739736557	3.04088521003723	3	0	N	O	1	1	3	3	14.3900003433228	8349	32	3910	3	GALAXY
I4448	218.58917	-78.59278	0.250034540891647	0.251188635826111	2.31739473342895	5.02342557907105	4	0	N	Z	1	3	3	3		4625	24	0 1	5 P	GALAXY
A0854-7819	133.50583	-78.32556	0.250034540891647	0.231739476323128	1.93196833133698	3.58921885490417	3	0	N	O	1	3	3	3		11114	52	-502	1	GALAXY
2143-7811	325.84208	-78.18694	0.100000001490116	0.105681747198105	0.731139123439789	3.22106885910034	3	4	N	Z	1	1	3	2		7500	100			GALAXY
N5612	217.03875	-78.16639	0.314774841070175	0.216770395636559	2.91071701049805	9.0573263168335	4	0	0	Z	3	2	3	3	13.3000001907349	2764	59	105	3A	GALAXY
I4555	235.28542	-78.01889	0.250034540891647	0.250034540891647	1.279381275177	3.28095316886902	3	0	N	D	1	1	3	3	13.5500001907349	2690	100	3617	4	GALAXY
1526-7757	231.70625	-77.95361	0.267916828393936	0.783429622650146	3.98107194900513	5.55904245376587	3	0	5	O	2	3	3	3		2683	35	-5	-2	GALAXY
	161.555	-77.75528	0.101624876260757	0.12331049144268	0.89949756860733	2.45470881462097	3	4	N	O	1	1	3	2		8793	39			GALAXY
0824-7739 M	126.21042	-77.66083	0.271019130945206	0.282487988471985	2.76057767868042	6.72976589202881	3	2	N	Z	1	3	3	3		5462	97	1225	2	GALAXY
0825-7737	126.38958	-77.62278	0.279898136854172	0.453941613435745	1.3182567358017	4.64515352249146	3	2	N	Z	1	3	3	3		5341	9	1225		GALAXY
1706-7729	256.56208	-77.47667	0.434510231018066	0.466659426689148	3.67282342910767	12.4451465606689	3	6	N	Z	1	1	3	3		5200	0	31		GALAXY
A2003-7727	300.85292	-77.455	0.250034540891647	0.199986189603806	1.75792360305786	3.63077998161316	3	0	N	O	1	2	3	3		13087	43	-502		GALAXY
1016-7726	154.21208	-77.44889	0.250034540891647	0.291071712970734	2.28034234046936	4.79733419418335	0	0	N	O	1	3	3	3		5952	36	-5		GALAXY
I 4635	257.00792	-77.43139	0.16634127497673	0.100000001490116	0.853100121021271	0.100000001490116	3	6	N	D	1	1	3	2		3231	0			GALAXY
1330-7723	202.68292	-77.38694	0.250034540891647	0.324339598417282	1.66724717617035	6.01173782348633	3	0	N	O	1	1	3	3		2598	100	3617	3	GALAXY
A0600-7716	90.24625	-77.27806	0.274157404899597	0.250034540891647	1.47570657730103	2.02768301963806	0	0	N	O	1	1	3	3		35070	53	-502		GALAXY
A1910-7714	287.57042	-77.24	0.100000001490116	0.202301919460297	1.03992009162903	1.49968481063843	0	4	N	Z	1	1	3	3		11152	120	1743		GALAXY
1043-7708	160.85958	-77.14333	0.100000001490116	0.167109057307243	1.21618616580963	2.39883279800415	3	4	N	O	1	1	3	3		6177	35	-5		GALAXY
I2160	89.41333	-76.92306	0.110917486250401	0.132129564881325	0.814704298973083	2.34422874450684	3	4	N	Z	1	1	3	3	14.6000003814697	4753	26			GALAXY
I4618	252.66958	-76.91389	0.250034540891647	0.162181004881859	1.68267393112183	4.75335264205933	3	0	N	D	1	2	3	3	14.3000001907349	3022	27	1217	5	GALAXY
A0145-7643	26.36083	-76.72639	0.250034540891647	0.250034540891647	1.31522464752197	2.64849996566772	3	0	N	O	1	1	3	3		6297	75	-502	5	GALAXY
A2153-7643	328.48792	-76.71917	0.250034540891647	0.250034540891647	1.35207271575928	1.74984681606293	0	0	N	O	1	1	3	2		16762	36	-502		GALAXY
2130-7634	322.6675	-76.56972	0.250034540891647	0.163681641221046	2.45470881462097	7.36207056045532	3	0	N	O	1	2	3	3		3901	50	3910	3	GALAXY
A0536-7629	84.18292	-76.49528	0.250034540891647	0.250034540891647	1.38995265960693	2.48313307762146	3	0	N	O	1	1	3	3		15985	59	-502		GALAXY
N2915	141.62792	-76.40667	0.100000001490116	0.100000001490116	1.22743916511536	1.04712855815888	4	4	N	Z	1	1	3	3	13.1999998092651	441	7	1217	10B	GALAXY
1726-7622	261.5175	-76.37611	0.147910848259926	0.352370858192444	4.51855897903442	0.100000001490116	3	6	N	O	1	3	3	3		5507	36	-5		GALAXY
0756-7617	119.125	-76.27917	0.100000001490116	0.149623572826385	0.984011054039001	3.66437578201294	3	4	N	Z	1	1	3	3		1760	20			GALAXY
A0003-7559	0.80667	-75.985	0.250034540891647	0.132129564881325	1.66724717617035	3.20626974105835	3	0	N	O	1	2	3	3		5931	60	-502	3	GALAXY
N3620	168.59792	-75.94222	1.24738335609436	4.78630018234253	46.7735214233398	71.4496459960938	4	0	1	O	3	3	3	3		1755	36	-5	5	GALAXY
0659-7551	104.82833	-75.85667	12.7057437896729	6.87068462371826	2.72270083427429	3.28095316886902	3	4	N	O	1	2	3	3		4328	37	-5	1	GALAXY
1505-7540	226.42083	-75.67028	0.409260660409927	0.260015934705734	2.06062984466553	6.91831016540527	3	0	N	O	1	3	3	3		2838	40	-5		GALAXY
